response,age,income,response_pt_2,age_range,trigrams
Not great. It’s hard for me to keep up with bills and monthly subscriptions let alone by things I need like food toilet paper etc.,20.0,"Income: $25,000 - $50,000",How has losing or going without more aid impacted you?  Not great. It’s hard for me to keep up with bills and monthly subscriptions let alone by things I need like food toilet paper etc. ,18-24,"[('great', 'hard', 'keep'), ('hard', 'keep', 'bills'), ('keep', 'bills', 'monthly'), ('bills', 'monthly', 'subscriptions'), ('monthly', 'subscriptions', 'let'), ('subscriptions', 'let', 'alone'), ('let', 'alone', 'things'), ('alone', 'things', 'need'), ('things', 'need', 'like'), ('need', 'like', 'food'), ('like', 'food', 'toilet'), ('food', 'toilet', 'paper'), ('toilet', 'paper', 'etc')]"
Horrible,31.0,"Income: Under $25,000",How has losing or going without more aid impacted you?  Horrible,25-34,[]
It’s made paying rent near impossible,20.0,"Income: Under $25,000",How has losing or going without more aid impacted you?  It’s made paying rent near impossible,18-24,"[('made', 'paying', 'rent'), ('paying', 'rent', 'near'), ('rent', 'near', 'impossible')]"
It has meade it hard. I'm really struggling.,43.0,"Income: $50,001 - $75,000",How has losing or going without more aid impacted you?  It has meade it hard. I'm really struggling.,35-44,"[('meade', 'hard', 'really'), ('hard', 'really', 'struggling')]"
Not a lot of food,22.0,"Income: $25,000 - $50,000",How has losing or going without more aid impacted you?  Not a lot of food,18-24,[]
"I have no money to pay bills, so 1 am currently borrowing money.",32.0,"Income: Under $25,000","How has losing or going without more aid impacted you?  I have no money to pay bills, so 1 am currently borrowing money. ",25-34,"[('money', 'pay', 'bills'), ('pay', 'bills', 'currently'), ('bills', 'currently', 'borrowing'), ('currently', 'borrowing', 'money')]"
We’re behind on bills,46.0,"Income: $100,001 - $150,000",How has losing or going without more aid impacted you?  We’re behind on bills,45-54,[]
Way behind on everything,28.0,"Income: $25,000 - $50,000",How has losing or going without more aid impacted you?  Way behind on everything,25-34,"[('way', 'behind', 'everything')]"
"lam currently employed, but my partner is not and he stays home with our 3 year old daughter. We have half the income we are used to, now that the extra $600 for unemployment has ended",24.0,"Income: $50,001 - $75,000","How has losing or going without more aid impacted you?  lam currently employed, but my partner is not and he stays home with our 3 year old daughter. We have half the income we are used to, now that the extra $600 for unemployment has ended    ",18-24,"[('lam', 'currently', 'employed'), ('currently', 'employed', 'partner'), ('employed', 'partner', 'stays'), ('partner', 'stays', 'home'), ('stays', 'home', '3'), ('home', '3', 'year'), ('3', 'year', 'old'), ('year', 'old', 'daughter'), ('old', 'daughter', 'half'), ('daughter', 'half', 'income'), ('half', 'income', 'used'), ('income', 'used', 'extra'), ('used', 'extra', '600'), ('extra', '600', 'unemployment'), ('600', 'unemployment', 'ended')]"
hurts - buying less food than needed and hard to pay bills,58.0,"Income: $25,000 - $50,000",How has losing or going without more aid impacted you?  hurts - buying less food than needed and hard to pay bills ,55-64,"[('hurts', 'buying', 'less'), ('buying', 'less', 'food'), ('less', 'food', 'needed'), ('food', 'needed', 'hard'), ('needed', 'hard', 'pay'), ('hard', 'pay', 'bills')]"
Less money,53.0,"Income: $50,001 - $75,000",How has losing or going without more aid impacted you?  Less money,45-54,[]
"Food is difficult to purchase, too expensive or can't find",58.0,"Income: $25,000 - $50,000","How has losing or going without more aid impacted you?  Food is difficult to purchase, too expensive or can't find ",55-64,"[('food', 'difficult', 'purchase'), ('difficult', 'purchase', 'expensive'), ('purchase', 'expensive', 'ca'), ('expensive', 'ca', 'find')]"
Paying bills is very difficult to make ends meet,24.0,"Income: $25,000 - $50,000",How has losing or going without more aid impacted you?  Paying bills is very difficult to make ends meet ,18-24,"[('paying', 'bills', 'difficult'), ('bills', 'difficult', 'make'), ('difficult', 'make', 'ends'), ('make', 'ends', 'meet')]"
"It's been difficult, as our hours have been cut at work.",29.0,"Income: $25,000 - $50,000","How has losing or going without more aid impacted you?  It's been difficult, as our hours have been cut at work. ",25-34,"[('difficult', 'hours', 'cut'), ('hours', 'cut', 'work')]"
It is always a challenge to meet the monthly bills.,74.0,"Income: Under $25,000",How has losing or going without more aid impacted you?  It is always a challenge to meet the monthly bills. ,65+,"[('always', 'challenge', 'meet'), ('challenge', 'meet', 'monthly'), ('meet', 'monthly', 'bills')]"
I dont eat much putting off repairs to car ignoring bills which hurts my credit,69.0,"Income: Under $25,000",How has losing or going without more aid impacted you?      I dont eat much putting off repairs to car ignoring bills which hurts my credit ,65+,"[('dont', 'eat', 'much'), ('eat', 'much', 'putting'), ('much', 'putting', 'repairs'), ('putting', 'repairs', 'car'), ('repairs', 'car', 'ignoring'), ('car', 'ignoring', 'bills'), ('ignoring', 'bills', 'hurts'), ('bills', 'hurts', 'credit')]"
I'm fucked,38.0,"Income: $25,000 - $50,000",How has losing or going without more aid impacted you?  I'm fucked,35-44,[]
1 am worried how we will pay our bills,23.0,"Income: $50,001 - $75,000",How has losing or going without more aid impacted you?  1 am worried how we will pay our bills,18-24,"[('worried', 'pay', 'bills')]"
We aren't able to pay our bills on time,29.0,"Income: $50,001 - $75,000",How has losing or going without more aid impacted you?  We aren't able to pay our bills on time,25-34,"[('able', 'pay', 'bills'), ('pay', 'bills', 'time')]"
late on paying bills,26.0,"Income: $75,001 - $100,000",How has losing or going without more aid impacted you?  late on paying bills,25-34,"[('late', 'paying', 'bills')]"
lam a self employed artist and art sales are down so it is a hardship,71.0,"Income: $25,000 - $50,000",How has losing or going without more aid impacted you?  lam a self employed artist and art sales are down so it is a hardship ,65+,"[('lam', 'self', 'employed'), ('self', 'employed', 'artist'), ('employed', 'artist', 'art'), ('artist', 'art', 'sales'), ('art', 'sales', 'hardship')]"
IT'S BEEN HARD ON ALL OF US.,66.0,"Income: $100,001 - $150,000",How has losing or going without more aid impacted you?  IT'S BEEN HARD ON ALL OF US.,65+,[]
We are broke. No savings left.,37.0,"Income: $25,000 - $50,000",How has losing or going without more aid impacted you?  We are broke. No savings left.,35-44,"[('broke', 'savings', 'left')]"
Having trouble trying to get ends to meet.,40.0,"Income: Under $25,000",How has losing or going without more aid impacted you?  Having trouble trying to get ends to meet.,35-44,"[('trouble', 'trying', 'get'), ('trying', 'get', 'ends'), ('get', 'ends', 'meet')]"
I'm broke,53.0,"Income: Under $25,000",How has losing or going without more aid impacted you?  I'm broke,45-54,[]
we are getting by month by month but no savings and credit card purchases are higher no extras either,51.0,"Income: $100,001 - $150,000",How has losing or going without more aid impacted you?  we are getting by month by month but no savings and credit card purchases are higher no extras either ,45-54,"[('getting', 'month', 'month'), ('month', 'month', 'savings'), ('month', 'savings', 'credit'), ('savings', 'credit', 'card'), ('credit', 'card', 'purchases'), ('card', 'purchases', 'higher'), ('purchases', 'higher', 'extras'), ('higher', 'extras', 'either')]"
Negatively as my bills and cost of living have increased during the pandemic.,58.0,"Income: $75,001 - $100,000",How has losing or going without more aid impacted you?  Negatively as my bills and cost of living have increased during the pandemic.    ,55-64,"[('negatively', 'bills', 'cost'), ('bills', 'cost', 'living'), ('cost', 'living', 'increased'), ('living', 'increased', 'pandemic')]"
I can not pay my bills,34.0,"Income: $25,000 - $50,000",How has losing or going without more aid impacted you?  I can not pay my bills,25-34,[]
If |had more | could have paid off my summer class,20.0,"Income: More than $150,000",How has losing or going without more aid impacted you?  If |had more | could have paid off my summer class ,18-24,"[('could', 'paid', 'summer'), ('paid', 'summer', 'class')]"
I can’t make ends meet.,44.0,"Income: $25,000 - $50,000",How has losing or going without more aid impacted you?  I can’t make ends meet.,35-44,"[('make', 'ends', 'meet')]"
i cannot afford my medications,70.0,"Income: $75,001 - $100,000",How has losing or going without more aid impacted you?  i cannot afford my medications,65+,[]
can't go to store when i need too,57.0,"Income: Under $25,000",How has losing or going without more aid impacted you?  can't go to store when i need too,55-64,"[('ca', 'go', 'store'), ('go', 'store', 'need')]"
this aid helped me and my family,49.0,"Income: More than $150,000",How has losing or going without more aid impacted you?  this aid helped me and my family,45-54,"[('aid', 'helped', 'family')]"
Less food and high bills to pay,43.0,"Income: Under $25,000",How has losing or going without more aid impacted you?  Less food and high bills to pay,35-44,"[('less', 'food', 'high'), ('food', 'high', 'bills'), ('high', 'bills', 'pay')]"
1am drowning. Every single bill | have is months past due and food is hard to come by,37.0,"Income: Under $25,000",How has losing or going without more aid impacted you?  1am drowning. Every single bill | have is months past due and food is hard to come by ,35-44,"[('1am', 'drowning', 'every'), ('drowning', 'every', 'single'), ('every', 'single', 'bill'), ('single', 'bill', 'months'), ('bill', 'months', 'past'), ('months', 'past', 'due'), ('past', 'due', 'food'), ('due', 'food', 'hard'), ('food', 'hard', 'come')]"
It has made me a little more depressed,52.0,"Income: $25,000 - $50,000",How has losing or going without more aid impacted you?  It has made me a little more depressed,45-54,"[('made', 'little', 'depressed')]"
It m.h ade it harder to be able to eat right,61.0,"Income: Under $25,000",How has losing or going without more aid impacted you?  It m.h ade it harder to be able to eat right,55-64,"[('ade', 'harder', 'able'), ('harder', 'able', 'eat'), ('able', 'eat', 'right')]"
I had to cut back on some things spend less money,68.0,"Income: $25,000 - $50,000",How has losing or going without more aid impacted you?  I had to cut back on some things spend less money ,65+,"[('cut', 'back', 'things'), ('back', 'things', 'spend'), ('things', 'spend', 'less'), ('spend', 'less', 'money')]"
I haven't been able to find a job and sometimes | feel like suicide is the smartest option,31.0,"Income: $25,000 - $50,000",How has losing or going without more aid impacted you?  I haven't been able to find a job and sometimes | feel like suicide is the smartest option ,25-34,"[('able', 'find', 'job'), ('find', 'job', 'sometimes'), ('job', 'sometimes', 'feel'), ('sometimes', 'feel', 'like'), ('feel', 'like', 'suicide'), ('like', 'suicide', 'smartest'), ('suicide', 'smartest', 'option')]"
Increased debt,61.0,"Income: Under $25,000",How has losing or going without more aid impacted you?  Increased debt,55-64,[]
Behind on bills need a lot of car repairs,50.0,"Income: Under $25,000",How has losing or going without more aid impacted you?  Behind on bills need a lot of car repairs,45-54,"[('behind', 'bills', 'need'), ('bills', 'need', 'lot'), ('need', 'lot', 'car'), ('lot', 'car', 'repairs')]"
Horrible,31.0,"Income: Under $25,000",How has losing or going without more aid impacted you?  Horrible,25-34,[]
"Haven't been able to pay all of my bills, one month mortgage and medical bills",26.0,"Income: $25,000 - $50,000","How has losing or going without more aid impacted you?  Haven't been able to pay all of my bills, one month mortgage and medical bills ",25-34,"[('able', 'pay', 'bills'), ('pay', 'bills', 'one'), ('bills', 'one', 'month'), ('one', 'month', 'mortgage'), ('month', 'mortgage', 'medical'), ('mortgage', 'medical', 'bills')]"
