0
"How has losing or going without more aid impacted you?  it forces me to go out to buy food & household goods more often because | don't have enough money at one time  Age: 59, Income: Under $25,000  This person is represented by Ann Wagner (R, MO-02), who VOTED AGAINST the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  It has made financial decisions stressful. Age: 44, Income: $25,000 - $50,000  This person is represented by Trent Kelly (R, MS- 01), who VOTED AGAINST the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  Less money for needs Age: 25, Income: Under $25,000  This person is represented by Steve Scalise (R, LA-01), who VOTED AGAINST the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  we are struggling to purchase groceries as the prices have risen  Age: 63, Income: $50,001 - $75,000  This person is represented by Kendra Horn (D, OK-05), who VOTED AGAINST the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  It has impacted me very badly Age: 21, Income: $25,000 - $50,000  This person is represented by Jason Smith (R, MO-08), who VOTED AGAINST the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  Some bills haven't gotten paid. Age: 66, Income: $25,000 - $50,000  This person is represented by Jason Smith (R, MO-08), who VOTED AGAINST the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  Need to have more stimulus payments Age: 64, Income: $25,000 - $50,000  This person is represented by Ron Kind (D, WI- 03), who VOTED FOR the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  Need to have more stimulus payments Age: 64, Income: $25,000 - $50,000  This person is represented by Ron Kind (D, WI- 03), who VOTED FOR the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  Been broke Age: 31, Income: $25,000 - $50,000  This person is represented by Mike Kelly (R, PA- 16), who VOTED AGAINST the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  no food and housing Age: 62, Income: $75,001 - $100,000  This person is represented by Dan Meuser (R, PA- 09), who VOTED AGAINST the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  It’s making things pretty tight. Hopefully there will be some relief  Age: 69, Income: $50,001 - $75,000  This person is represented by David Mckinley (R, WV-01), who VOTED AGAINST the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  Doctor visits have been postponed Age: 71, Income: $50,001 - $75,000  This person is represented by Jestis Garcia (D, IL- 04), who VOTED FOR the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  Im struggling to pay my bills Age: 40, Income: $25,000 - $50,000  This person is represented by Veronica Escobar (D, TX-16), who VOTED FOR the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief.  Since the HEROES Act passed the house in May,  it has been blocked by Republican Senate leader  Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  I still have more bills that need to be paid. Age: 49, Income: $25,000 - $50,000  This person is represented by Mo Brooks (R, AL- 05), who VOTED AGAINST the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  Can barely buy what we need Age: 65, Income: $25,000 - $50,000  This person is represented by Billy Long (R, MO- 07), who VOTED AGAINST the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  Food is difficult to purchase, too expensive or can't find  Age: 58, Income: $25,000 - $50,000  This person is represented by Debbie Dingell (D, MI-12), who VOTED FOR the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  In debt more Age: 73, Income: Under $25,000  This person is represented by Roger Wayne Marshall (R, KS-01), who ABSTAINED FROM VOTING FOR the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  I'm suffering over worrying about money Age: 36, Income: $25,000 - $50,000  This person is represented by Ben Ray Lujan (D, NM-03), who VOTED FOR the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  Broke Age: 23, Income: $75,001 - $100,000  This person is represented by Stephen Cohen (D, TN-09), who VOTED FOR the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  can't afford te usual things Age: 65, Income: $50,001 - $75,000  This person is represented by Susan A. Davis (D, CA-53), who VOTED FOR the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
